Zeit;Kanal A
(ms);(mV)

-23,83699908;2,04724400
-23,83199908;2,23363700
-23,82699908;1,86146600
-23,82199908;2,60580700
-23,81699908;1,67507400
-23,81199908;2,04724400
-23,80699908;1,48868100
-23,80199908;1,67507400
-23,79699908;2,04724400
-23,79199908;0,18577760
-23,78699908;0,00000000
-23,78199908;-0,74434050
-23,77699908;-0,74434050
-23,77199908;0,00000000
-23,76699908;-1,11651100
-23,76199908;-0,18577760
-23,75699908;-0,37217020
-23,75199908;0,74434050
-23,74699908;0,37217020
-23,74199908;0,93073320
-23,73699908;2,04724400
-23,73199908;2,41941400
-23,72699908;2,97797700
-23,72199908;3,53654000
-23,71699908;3,72293300
-23,71199908;3,90871000
-23,70699908;3,35014700
-23,70199908;3,72293300
-23,69699908;3,16437000
-23,69199908;2,97797700
-23,68699909;2,79220000
-23,68199909;1,11651100
-23,67699909;0,93073320
-23,67199909;-0,37217020
-23,66699909;0,00000000
-23,66199909;-0,74434050
-23,65699909;-0,74434050
-23,65199909;0,00000000
-23,64699909;-1,67507400
-23,64199909;-1,30290300
-23,63699909;-1,86146600
-23,63199909;-1,11651100
-23,62699909;-2,23363700
-23,62199909;-2,60580700
-23,61699909;-2,04724400
-23,61199909;-0,93073320
-23,60699909;-1,11651100
-23,60199909;-1,11651100
-23,59699909;-2,23363700
-23,59199909;-1,30290300
-23,58699909;-1,30290300
-23,58199909;-1,86146600
-23,57699909;-1,48868100
-23,57199909;-1,67507400
-23,56699909;-2,04724400
-23,56199909;-1,67507400
-23,55699909;-2,41941400
-23,55199909;-2,79220000
-23,54699909;-2,97797700
-23,54199909;-3,35014700
-23,53699909;-3,53654000
-23,53199909;-3,35014700
-23,52699909;-3,35014700
-23,52199909;-4,28149600
-23,51699909;-3,53654000
-23,51199909;-3,90871000
-23,50699909;-3,72293300
-23,50199909;-3,16437000
-23,49699909;-3,35014700
-23,49199909;-3,72293300
-23,48699909;-2,97797700
-23,48199909;-2,60580700
-23,47699909;-2,79220000
-23,47199909;-2,23363700
-23,46699909;-2,04724400
-23,46199909;-1,86146600
-23,45699909;-2,23363700
-23,45199909;-1,86146600
-23,44699909;-1,30290300
-23,44199909;-1,48868100
-23,43699909;-2,23363700
-23,43199909;-2,41941400
-23,42699909;-3,53654000
-23,42199909;-2,23363700
-23,41699909;-3,72293300
-23,41199909;-3,90871000
-23,40699909;-3,72293300
-23,40199909;-3,53654000
-23,39699909;-3,90871000
-23,39199909;-3,90871000
-23,38699909;-3,90871000
-23,38199909;-3,72293300
-23,37699909;-3,35014700
-23,37199909;-3,16437000
-23,36699909;-2,79220000
-23,36199909;-2,41941400
-23,35699909;-2,97797700
-23,35199909;-2,41941400
-23,34699909;-2,79220000
-23,34199909;-3,35014700
-23,33699909;-3,16437000
-23,33199909;-0,55794780
-23,32699909;-2,60580700
-23,32199909;-3,16437000
-23,31699909;-3,16437000
-23,31199909;-3,35014700
-23,30699909;-3,53654000
-23,30199909;-3,53654000
-23,29699909;-3,35014700
-23,29199910;-3,35014700
-23,28699910;-3,35014700
-23,28199910;-3,16437000
-23,27699910;-3,35014700
-23,27199910;-3,35014700
-23,26699910;-3,16437000
-23,26199910;-2,97797700
-23,25699910;-2,97797700
-23,25199910;-2,97797700
-23,24699910;-3,16437000
-23,24199910;-2,23363700
-23,23699910;-2,60580700
-23,23199910;-2,60580700
-23,22699910;-2,60580700
-23,22199910;-2,23363700
-23,21699910;-2,41941400
-23,21199910;-2,04724400
-23,20699910;-1,67507400
-23,20199910;-1,11651100
-23,19699910;-1,30290300
-23,19199910;-0,55794780
-23,18699910;-0,74434050
-23,18199910;-1,30290300
-23,17699910;-0,74434050
-23,17199910;-0,74434050
-23,16699910;-1,48868100
-23,16199910;-1,67507400
-23,15699910;-1,30290300
-23,15199910;-2,04724400
-23,14699910;-2,41941400
-23,14199910;-2,60580700
-23,13699910;-3,53654000
-23,13199910;-2,97797700
-23,12699910;-3,53654000
-23,12199910;-5,39800700
-23,11699910;-3,53654000
-23,11199910;-2,97797700
-23,10699910;-3,72293300
-23,10199910;-3,16437000
-23,09699910;-3,35014700
-23,09199910;-3,35014700
-23,08699910;-3,16437000
-23,08199910;-2,60580700
-23,07699910;-2,23363700
-23,07199910;-1,67507400
-23,06699910;-2,23363700
-23,06199910;-1,86146600
-23,05699910;-1,86146600
-23,05199910;-1,11651100
-23,04699910;-1,30290300
-23,04199910;-0,93073320
-23,03699910;-0,74434050
-23,03199910;-1,11651100
-23,02699910;-0,74434050
-23,02199910;-0,37217020
-23,01699910;-0,18577760
-23,01199910;-0,93073320
-23,00699910;0,18577760
-23,00199910;0,37217020
-22,99699910;1,11651100
-22,99199910;0,18577760
-22,98699910;0,93073320
-22,98199910;0,55794780
-22,97699910;0,93073320
-22,97199910;1,30290300
-22,96699910;1,11651100
-22,96199910;1,67507400
-22,95699910;1,48868100
-22,95199910;1,30290300
-22,94699910;2,23363700
-22,94199910;2,04724400
-22,93699910;2,79220000
-22,93199910;2,41941400
-22,92699910;2,04724400
-22,92199910;2,60580700
-22,91699910;2,41941400
-22,91199910;3,53654000
-22,90699910;2,79220000
-22,90199910;2,97797700
-22,89699910;3,16437000
-22,89199911;2,41941400
-22,88699911;2,60580700
-22,88199911;3,35014700
-22,87699911;2,97797700
-22,87199911;2,60580700
