Zeit;Kanal A
(ms);(mV)

-25,00999905;-0,37217020
-25,00499905;-0,37217020
-24,99999905;-0,55794780
-24,99499905;-0,93073320
-24,98999905;0,18577760
-24,98499905;0,00000000
-24,97999905;0,55794780
-24,97499905;0,18577760
-24,96999905;-0,74434050
-24,96499905;-1,30290300
-24,95999905;-2,23363700
-24,95499905;-2,23363700
-24,94999905;-2,97797700
-24,94499905;-4,09510300
-24,93999905;-4,09510300
-24,93499905;-4,09510300
-24,92999905;-5,02583600
-24,92499905;-4,46727300
-24,91999905;-5,02583600
-24,91499905;-4,65366600
-24,90999905;-4,28149600
-24,90499905;-3,53654000
-24,89999905;-3,16437000
-24,89499905;-2,60580700
-24,88999905;-2,04724400
-24,88499905;-1,67507400
-24,87999905;-1,30290300
-24,87499906;-1,48868100
-24,86999906;-1,11651100
-24,86499906;-1,30290300
-24,85999906;-1,30290300
-24,85499906;-1,67507400
-24,84999906;-1,86146600
-24,84499906;-2,23363700
-24,83999906;-2,04724400
-24,83499906;-3,53654000
-24,82999906;-2,79220000
-24,82499906;-3,35014700
-24,81999906;-3,35014700
-24,81499906;-2,97797700
-24,80999906;-2,79220000
-24,80499906;-2,23363700
-24,79999906;-2,41941400
-24,79499906;-2,23363700
-24,78999906;-2,23363700
-24,78499906;-1,30290300
-24,77999906;-1,86146600
-24,77499906;-1,11651100
-24,76999906;-1,67507400
-24,76499906;-1,67507400
-24,75999906;-1,67507400
-24,75499906;-1,30290300
-24,74999906;-1,67507400
-24,74499906;-2,04724400
-24,73999906;-2,23363700
-24,73499906;-2,23363700
-24,72999906;-2,04724400
-24,72499906;-2,60580700
-24,71999906;-2,23363700
-24,71499906;-3,35014700
-24,70999906;-3,35014700
-24,70499906;-3,90871000
-24,69999906;-3,72293300
-24,69499906;-2,79220000
-24,68999906;-2,41941400
-24,68499906;-2,23363700
-24,67999906;-2,23363700
-24,67499906;-2,04724400
-24,66999906;-1,67507400
-24,66499906;-1,30290300
-24,65999906;-0,74434050
-24,65499906;0,00000000
